zip_code_prefix,latitude,longitude,city,state
1037,-23.5456213,-46.6392920,sao paulo,SP
1046,-23.5460811,-46.6448203,sao paulo,SP
1041,-23.5443922,-46.6394993,sao paulo,SP
1035,-23.5415780,-46.6416072,sao paulo,SP
1012,-23.5477623,-46.6353605,são paulo,SP
1047,-23.5462731,-46.6412252,sao paulo,SP
1013,-23.5469232,-46.6342637,sao paulo,SP
1029,-23.5437691,-46.6342778,sao paulo,SP
1011,-23.5476396,-46.6360316,sao paulo,SP
1032,-23.5384181,-46.6347784,sao paulo,SP
1014,-23.5464353,-46.6338302,sao paulo,SP
1039,-23.5418830,-46.6399195,sao paulo,SP
1024,-23.5413895,-46.6298991,são paulo,SP
1009,-23.5469354,-46.6365879,sao paulo,SP
1020,-23.5522355,-46.6284407,são paulo,SP
1043,-23.5466567,-46.6407876,são paulo,SP
1050,-23.5497735,-46.6455990,sao paulo,SP
1045,-23.5415938,-46.6418938,sao paulo,SP
1007,-23.5503925,-46.6373016,sao paulo,SP
1005,-23.5498191,-46.6356059,sao paulo,SP
1017,-23.5500109,-46.6311664,são paulo,SP
1019,-23.5521519,-46.6308022,sao paulo,SP
1027,-23.5383012,-46.6307639,sao paulo,SP
1033,-23.5403213,-46.6363948,sao paulo,SP
1006,-23.5505243,-46.6366936,sao paulo,SP
1034,-23.5423916,-46.6377093,sao paulo,SP
1042,-23.5448736,-46.6403031,sao paulo,SP
1040,-23.5403168,-46.6373554,sao paulo,SP
1026,-23.5394948,-46.6328439,são paulo,SP
1036,-23.5417000,-46.6413178,sao paulo,SP
1048,-23.5474489,-46.6401692,são paulo,SP
1002,-23.5483180,-46.6354211,sao paulo,SP
1031,-23.5368641,-46.6334931,sao paulo,SP
1022,-23.5449866,-46.6334537,sao paulo,SP
1008,-23.5442549,-46.6346391,sao paulo,SP
1010,-23.5478070,-46.6361218,sao paulo,SP
1003,-23.5490324,-46.6353131,sao paulo,SP
1001,-23.5492920,-46.6335595,sao paulo,SP
1015,-23.5448263,-46.6308696,sao paulo,SP
1038,-23.5426797,-46.6381968,sao paulo,SP
1016,-23.5484951,-46.6334906,sao paulo,SP
1049,-23.5453066,-46.6369946,sao paulo,SP
1021,-23.5451677,-46.6322487,sao paulo,SP
1018,-23.5502186,-46.6318800,sao paulo,SP
1044,-23.5457511,-46.6413269,sao paulo,SP
1030,-23.5383639,-46.6329301,são paulo,SP
1025,-23.5399209,-46.6283479,sao paulo,SP
1004,-23.5501159,-46.6351216,sao paulo,SP
